Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
"2,019",2,1,1,14,1,2,5,1,2,"2,256.593","9,026.372","2,448,173.602",2
"2,019",2,1,1,14,1,2,6,1,1,"1,150.252","3,450.756","337,023.836",1
"2,019",2,1,1,14,1,2,6,1,2,"4,799.267","19,197.068","2,749,979.991",1
"2,019",2,1,1,14,1,2,7,1,2,"1,994.109","13,958.763","1,529,481.603",1
"2,019",2,1,1,14,1,2,7,2,2,"3,095.596","12,382.384","996,781.912",2
"2,019",2,1,1,14,1,2,9,1,1,"1,150.252","3,450.756","440,546.516",1
"2,019",2,1,1,14,1,2,9,2,2,"4,679.369","23,396.845","2,690,637.175",1
"2,019",2,1,1,14,2,1,3,1,1,810.060,810.060,"153,101.340",1
"2,019",2,1,1,14,2,1,4,1,2,708.795,"4,961.565","465,678.315",1
"2,019",2,1,1,14,2,1,5,1,2,"2,136.545","21,365.450","21,365.450",1
"2,019",2,1,1,14,2,2,4,2,2,"1,547.798","10,834.586","603,641.220",1
"2,019",2,1,1,14,4,1,2,1,1,"4,799.267","14,397.801","2,879,560.200",1
"2,019",2,1,1,14,4,1,2,2,2,708.795,"2,835.180","141,759.000",1
"2,019",2,1,1,14,4,1,2,2,3,"10,238.892","225,255.624","7,085,313.264",1
"2,019",2,1,1,14,4,1,3,1,2,"16,712.154","116,985.078","3,873,272.520",3
"2,019",2,1,1,14,4,1,3,2,2,"3,241.357","16,206.785","777,881.000",2
"2,019",2,1,1,14,4,1,7,2,2,810.060,"3,240.240","202,515.000",1
"2,019",2,1,1,15,1,1,1,1,2,"7,339.901","58,719.208","3,669,950.500",1
"2,019",2,1,1,15,1,1,1,2,2,"1,940.874","13,586.118","929,678.646",1
"2,019",2,1,1,15,1,1,3,1,2,"1,069.745","9,627.705","427,898.000",1
"2,019",2,1,1,15,1,1,3,2,2,"4,078.573","28,550.011","2,478,733.450",2
"2,019",2,1,1,15,1,1,3,2,4,"3,293.512","233,839.352","3,362,675.752",1
"2,019",2,1,1,15,1,1,4,2,2,"1,069.745","12,836.940","347,667.125",1
"2,019",2,1,1,15,1,1,5,1,2,"5,353.021","37,471.147","2,551,436.255",2
"2,019",2,1,1,15,1,1,5,2,3,"1,854.806","25,967.284","1,049,130.286",2
"2,019",2,1,1,15,1,1,6,1,2,"5,921.514","41,450.598","3,365,278.821",2
"2,019",2,1,1,15,1,1,6,1,3,"5,049.891","74,678.620","5,670,516.750",2
"2,019",2,1,1,15,1,1,6,2,2,"3,670.712","25,694.984","2,177,898.805",2
"2,019",2,1,1,15,1,1,6,2,3,"1,994.109","41,876.289","1,495,581.750",1
"2,019",2,1,1,15,1,1,7,1,2,"1,547.798","18,573.576","270,864.650",1
"2,019",2,1,1,15,1,1,7,1,3,"5,041.323","72,519.396","2,981,585.006",3
"2,019",2,1,1,15,1,1,7,2,2,"4,175.105","34,470.585","2,036,474.480",2
"2,019",2,1,1,15,1,1,7,2,3,"2,617.543","64,255.191","3,675,692.555",2
"2,019",2,1,1,15,1,1,9,#NULL!,2,"3,293.512","23,054.584","1,804,844.576",1
"2,019",2,1,1,15,1,1,9,1,2,"3,073.945","21,517.615","1,684,521.860",1
"2,019",2,1,1,15,1,1,9,1,3,"1,407.250","19,701.500","1,215,864.000",1
"2,019",2,1,1,15,1,1,9,1,4,"1,069.745","58,835.975","1,725,498.685",1
"2,019",2,1,1,15,1,1,9,2,2,"1,552.651","10,868.557","850,852.748",1
"2,019",2,1,1,15,1,2,1,1,2,"1,069.745","7,488.215","836,540.590",1
"2,019",2,1,1,15,1,2,2,1,2,"10,255.951","65,969.035","4,475,059.058",4
"2,019",2,1,1,15,1,2,2,1,3,"1,069.745","16,046.175","2,488,226.870",1
"2,019",2,1,1,15,1,2,2,2,2,"4,635.247","32,446.729","3,123,043.749",2
"2,019",2,1,1,15,1,2,3,1,2,"10,216.215","71,513.505","1,792,138.174",2
"2,019",2,1,1,15,1,2,3,1,3,785.061,"10,990.854","711,265.266",1
"2,019",2,1,1,15,1,2,3,2,2,"8,429.965","49,129.219","8,212,152.918",2
"2,019",2,1,1,15,1,2,4,1,2,"11,429.681","80,007.767","3,296,197.846",5
"2,019",2,1,1,15,1,2,4,2,2,"24,964.501","187,925.555","10,093,459.516",4
"2,019",2,1,1,15,1,2,5,1,2,"14,772.750","117,328.823","15,676,641.921",4
"2,019",2,1,1,15,1,2,5,2,2,"5,234.386","36,640.702","3,976,091.298",2
"2,019",2,1,1,15,1,2,6,1,2,"3,402.604","23,818.228","1,674,167.359",3
"2,019",2,1,1,15,1,2,6,1,3,"17,035.742","238,500.388","13,151,592.824",1
"2,019",2,1,1,15,1,2,6,2,2,"4,278.980","29,952.860","3,045,564.015",4
"2,019",2,1,1,15,1,2,6,2,3,"4,283.276","59,965.864","4,274,709.448",1
"2,019",2,1,1,15,1,2,7,1,2,"11,285.960","83,364.977","3,518,578.926",3
"2,019",2,1,1,15,1,2,7,2,2,"39,519.828","378,069.472","46,794,690.419",4
"2,019",2,1,1,15,1,2,7,2,3,"5,136.453","107,865.513","13,241,775.834",1
"2,019",2,1,1,15,1,2,9,1,2,"4,363.257","30,542.799","2,539,415.574",2
"2,019",2,1,1,15,4,1,2,1,2,"6,587.024","65,870.240","658,702.400",2
"2,019",2,1,1,15,4,1,2,2,3,"3,293.512","59,283.216",0.000,1
"2,019",2,1,1,15,4,1,3,1,2,"1,547.798","9,286.788","670,196.534",1
"2,019",2,1,1,15,4,1,4,1,1,"1,069.745","2,139.490","10,697.450",1
"2,019",2,1,1,15,4,1,5,1,1,"2,328.977","2,328.977","931,590.800",1
"2,019",2,1,1,15,4,1,5,1,2,"1,940.874","17,467.866","504,627.240",1
"2,019",2,1,1,15,4,1,5,1,3,"3,293.512","72,457.264","3,293,512.000",1
"2,019",2,1,1,15,4,1,5,2,2,"2,617.543","22,966.195","401,487.179",2
"2,019",2,1,1,15,4,1,6,1,2,"1,069.745","7,488.215","534,872.500",1
"2,019",2,1,1,15,4,1,7,1,2,"6,612.253","46,285.771","1,621,734.732",2
"2,019",2,1,1,15,4,1,7,2,2,"6,922.703","48,458.921","2,076,810.900",1
"2,019",2,1,1,15,4,2,4,1,2,"4,283.276","29,982.932","719,590.368",1
"2,019",2,1,1,16,1,1,5,1,3,"2,458.398","34,417.572","1,229,199.000",1
"2,019",2,1,1,16,1,1,9,1,2,"3,105.360","21,737.520","2,148,909.120",1
"2,019",2,1,1,16,1,2,3,1,2,"4,283.276","29,982.932","1,537,696.084",1
"2,019",2,1,1,16,1,2,5,1,3,"1,069.745","14,976.430","733,845.070",1
"2,019",2,1,1,16,1,2,6,1,2,"3,293.512","23,054.584","569,777.576",1
"2,019",2,1,1,16,1,2,6,2,3,"1,547.798","21,669.172","1,803,184.670",1
"2,019",2,1,1,16,1,2,7,2,2,"1,069.745","7,488.215","792,681.045",1
"2,019",2,1,1,17,1,1,3,1,2,"11,744.145","52,453.569","2,935,841.673",3
"2,019",2,1,1,17,1,1,4,1,2,"1,150.252","4,601.008","747,663.800",1
"2,019",2,1,1,17,1,1,5,1,1,"2,334.464","7,003.392","1,167,232.000",1
"2,019",2,1,1,17,1,1,5,2,1,"1,150.252","3,450.756","200,143.848",1
"2,019",2,1,1,17,1,1,6,1,1,"2,881.015","8,643.045","1,152,406.000",1
"2,019",2,1,1,17,1,1,6,1,2,"2,136.545","21,365.450","1,602,408.750",1
"2,019",2,1,1,17,1,1,6,2,1,"1,825.663","5,476.989","1,405,760.510",1
"2,019",2,1,1,17,1,1,6,2,2,"1,069.745","8,557.960","1,016,257.750",1
"2,019",2,1,1,17,1,1,7,2,2,"1,460.485","5,841.940","1,237,030.795",1
"2,019",2,1,1,17,1,1,9,#NULL!,3,"6,579.880","92,118.320","7,033,891.720",1
"2,019",2,1,1,17,1,1,9,2,1,"1,825.663","5,476.989","555,001.552",1
"2,019",2,1,1,17,1,2,2,2,1,"1,069.745","2,139.490","137,997.105",1
"2,019",2,1,1,17,1,2,3,2,2,"2,136.545","8,546.180","811,887.100",1
"2,019",2,1,1,17,1,2,5,2,2,"1,069.745","4,278.980","637,568.020",1
"2,019",2,1,1,17,1,2,7,1,2,"2,020.316","16,162.528","6,632,697.428",1
"2,019",2,1,1,17,2,1,3,1,1,"2,334.464","2,334.464","817,062.400",1
"2,019",2,1,1,17,2,1,4,1,1,"4,934.483","10,762.817","2,041,825.054",3
"2,019",2,1,1,17,2,1,4,1,2,"4,222.750","25,336.500","6,206,660.175",2
